id,name,theme,year,duration,tempo,album_id,spotify_url
112,Cheatin' In The Next Room,Life And Death,0,235.91138,161.976,7595,https://open.spotify.com/track/5mL1mEmSqrtI1FDWGqajVW
113,Candy Man,Life And Death,1971,239.59465,172.398,1002,https://open.spotify.com/track/7MJoUug4PEgPVs3DjQVSeG
114,I See The Boys Of Summer,Sex,0,171.49342,109.823,1118,https://open.spotify.com/track/6dOmrYKuKtrfuyw2Pqx27Z
115,Three Is A Crowd,Heartbreak,0,266.05669,90.101,6261,https://open.spotify.com/track/0MCj53AsRW14o9QEIBSeZD
116,On Bended Knee,People And Places,1994,329.27302,116.473,5842,https://open.spotify.com/track/1iDcKYNvo6gglrOG6lvnHL
117,My Four Reasons,Party Songs,0,198.922,126.821,8149,https://open.spotify.com/track/0TIlZHyTWxJpPdWoFOAhh1
118,Little Girl (lp Version),Politics And Protest,1971,283.21914,111.191,5378,https://open.spotify.com/track/4YrWmy5tD1d3VKYK9KShzo
119,Eternamente Amame,Heartbreak,0,238.68036,125.508,8744,https://open.spotify.com/track/0bYTzax9gxxVexsyI1kFJn
120,Niev Nietch Nievitch,Life And Death,1999,254.06649,137.888,6230,https://open.spotify.com/track/2JmrfTKt2YYDwwdglDR7uw
121,Come Over,Love,0,184.31955,150.012,6213,https://open.spotify.com/track/56yI5LJg0qK5xPVuJPBKag
122,Blue Taxi,People And Places,0,311.40526,108.367,7492,https://open.spotify.com/track/0VPkUzKCaGQQhmmps7kzCV
123,I Want Love (tween You & Me) (album Version),Love,0,162.53342,173.482,4527,https://open.spotify.com/track/2JXDBpAJKU3Epe33WF0hH4
124,White Feather,Life And Death,2009,212.37506,110.745,482,https://open.spotify.com/track/1sE18EVqt4jUTIfEkC4o0y
125,Christlike Roche,Politics And Protest,1995,338.33751,130.027,4328,https://open.spotify.com/track/3SYwuAK8Ed0S4jEsBihkym
126,You Rascal You,Politics And Protest,0,126.51057,110.168,2238,https://open.spotify.com/track/6BD0vChKASpviIQeCTd7Yy
127,Sympathy,Party Songs,0,205.58322,97.976,6167,https://open.spotify.com/track/6jnEusmGUs0D6YvF8MhOXX
128,They Say (album),Heartbreak,2007,193.4624,119.979,2904,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
129,Simon's Folly,Politics And Protest,0,127.4771,156.968,6626,https://open.spotify.com/track/0G2Y2OA5jv093bMMg3dJ80
130,Crawl Before You Ball (album Version),People And Places,1999,234.762,188.886,5270,https://open.spotify.com/track/0WSSwYOhdKSRKrbOfPwxKc
131,Medicate Myself,People And Places,2001,292.8322,133.306,3438,https://open.spotify.com/track/4h12Ct1OxfTJBOpMyDfJeO
132,Biding Her Time,Heartbreak,1990,241.10975,152.267,6418,https://open.spotify.com/track/5766QQQ0ssrdVAe7VGE2BM
133,More And More  (lp Version),Love,0,270.68036,166.275,7765,https://open.spotify.com/track/2Yd6GlRAeSZcJR35OTItc1
134,Cowboy Ways,Party Songs,0,188.73424,114.971,6416,https://open.spotify.com/track/466XGyJj6LHJcpeR3RhhJX
135,Brasas Vivas,Party Songs,0,211.80036,144.651,2787,https://open.spotify.com/track/1vZsl7aurXLVfSTbRThjmw
136,Kolomeyke,Love,0,254.32771,152.005,651,https://open.spotify.com/track/1iWgpV4jF7wWDSTeIxmNmY
137,In This Life,Life And Death,2009,210.36363,155.074,4578,https://open.spotify.com/track/5wfsNGEBtkrK0ECZMWIO9a
138,Groovin' In The Midnight,Politics And Protest,1991,301.81832,61.971,8447,https://open.spotify.com/track/6Lc0mmyoSN1XfFnqX5UtKF
139,Waiting,Politics And Protest,1997,416.80934,124.04,4496,https://open.spotify.com/track/0LXwJFtBFYnglsSNxxI4up
140,A'chek Ouyounik (2009 Digital Remaster),Politics And Protest,0,413.36118,191.196,6906,https://open.spotify.com/track/0ZYDe0Vx7yK49ftUFnk1kF
141,Hell,People And Places,2005,117.002,152.127,5106,https://open.spotify.com/track/09JaFiIty06XDERa1f5f0G
142,Hips Don't Lie (featuring Wyclef Jean),Life And Death,0,217.36444,100.023,4938,https://open.spotify.com/track/4JaLkM90MJutDAl5jD9BZX
143,Juoksuhauta-twist (elämä Juoksuhaudoissa),Politics And Protest,0,122.72281,192.688,7237,https://open.spotify.com/track/6aZPnYbAx0jFRE2vEaxDhs
144,I Got Over It (album Version),Politics And Protest,1988,203.98975,154.322,6470,https://open.spotify.com/track/69RoAhDqFOiQb2pQvb24Ii
145,One Less Bell To Answer,People And Places,0,192.44363,236.006,2201,https://open.spotify.com/track/2lgbLnDXVI0uhvTRJH3LnC
146,Festa,Heartbreak,0,285.36118,150.666,6863,https://open.spotify.com/track/4AM7Bv1CxkGsfGOTN8Ekuw
147,Te Hacen Falta Vitaminas,Life And Death,1984,225.12281,175.421,7766,https://open.spotify.com/track/3p4ezazD13HAlnIkIvXWMO
148,Sense And Trick,People And Places,0,123.66322,104.153,7267,https://open.spotify.com/track/3SeMzLMkzpCLMopmEYhHGB
149,Hanging On (medium Key Performance Track Without Background Vocals),Politics And Protest,0,204.06812,160.165,906,https://open.spotify.com/track/7lamJJqlVoxAxllisyxWzF
150,Grim Prospects (version 2 Remix),Politics And Protest,0,166.00771,86.091,4893,https://open.spotify.com/track/5bJwpzXyDuTFWRHPswYLdp
151,Christmas In Jamaica,Party Songs,2001,219.01016,149.94,5546,https://open.spotify.com/track/6KMoKU9mRNthObqYAMrXnD
152,Gossippo Perpetuo,Politics And Protest,2001,127.9473,135.78,2830,https://open.spotify.com/track/1RjeHUMpSaRuWUS9jY21ww
153,2190 Dias Contigo,Politics And Protest,0,570.90567,122.967,6854,https://open.spotify.com/track/6dgbDugNuZKnAbEyxYwwYQ
154,No Control,Politics And Protest,0,230.00771,142.024,2692,https://open.spotify.com/track/7Gn7dLXaBY9r4IzTXpyGXv
155,The Vitalized Shell,People And Places,2010,240.74404,135.535,3521,https://open.spotify.com/track/2Z4ibT17r7Y8CvBmlhpax2
156,Mozart,Heartbreak,1989,192.20853,139.189,4131,https://open.spotify.com/track/6kp8F9FpHXzjga2MeRDSG8
157,Ciao Milan,Politics And Protest,0,152.0322,128.598,3785,https://open.spotify.com/track/6grcvY5QjDXvV9G4NfOmUa
158,Lend Me Your Chopper,Love,2004,215.30077,163.445,6744,https://open.spotify.com/track/2Gi4Gro66QZwy9nObBlpJE
159,Letter To Heaven,Love,1971,155.21914,114.027,4114,https://open.spotify.com/track/3CDHydgW0ssTh59f0jy1y3
160,Heaven Is Where The Heart Is,Heartbreak,0,207.12444,111.316,5441,https://open.spotify.com/track/3eiGkdeZRxmBGqJ9gxD8TL
161,Inside Job,Politics And Protest,2006,428.56444,105.994,6241,https://open.spotify.com/track/7dOFvjtN2FNxQP7l0lPufv
162,Take A Look  (lp Version),Love,0,185.7824,88.489,1807,https://open.spotify.com/track/4YJmZfvlheSziXem8HBWrj
163,The Czar: Usurper/escape/martyr/spiral (album Version),Heartbreak,2009,654.28853,118.433,1073,https://open.spotify.com/track/5i58Eswru0w2z9rM8FcmDH
164,Bulgarian Dream,Heartbreak,0,306.72934,96.007,4394,https://open.spotify.com/track/04HenXWHfLUlsRsLPiBd0k
165,Amalgama,Heartbreak,0,229.51138,187.807,4640,https://open.spotify.com/track/0f23gGmTozARE1nllTlNlN
166,Born And Raised In Compton,Politics And Protest,1991,205.58322,181.115,6285,https://open.spotify.com/track/0aDBnsvnmaDAHusNJnYccE
167,We're Gonna Go Fishin',Politics And Protest,0,127.05914,148.357,2206,https://open.spotify.com/track/6t3lvw7FShZjUlNLWZjUJ2
168,Robbers Kill Cop,People And Places,0,44.35546,136.164,8242,https://open.spotify.com/track/5U1UqrvzDDj22eyFocTtmr
169,Relax,People And Places,2009,203.83302,126.941,196,https://open.spotify.com/track/058Xd9mKtT80ORCAXsfvVh
170,Sweet By And By,Life And Death,0,176.50893,159.582,8417,https://open.spotify.com/track/3RjzyVqcR488WKazcVVJTS
171,Orgofart,Heartbreak,1986,140.66893,89.495,8492,https://open.spotify.com/track/1Hq0yVC0ndo5eSsQ7m7r4c
172,Bitch Is Back,Politics And Protest,1988,201.09016,102.259,1429,https://open.spotify.com/track/11P8PMjut7t75FPzHTgd0L
173,Naked Albino,People And Places,1998,254.79791,107.529,4713,https://open.spotify.com/track/1IgASoJfRdTx2ZSQieTrHo
174,Johnny Loves Me (lp Version),Love,0,143.0722,99.408,7132,https://open.spotify.com/track/1ygxQke0T8AiKquznhDeNY
175,Dearly Beloved,People And Places,0,163.49995,79.731,7686,https://open.spotify.com/track/1BuHbtYFgSaV99PFPBZEkW
176,The Look Of Love,Love,0,289.64526,188.502,2040,https://open.spotify.com/track/6nUhDYgFdSWWIWnN0Mwq9G
177,Cooler Than You,Love,1998,124.15955,133.729,4082,https://open.spotify.com/track/3GMHHZJX1hH2HrNEhTYRjU
178,Taryns Deepest Fear,Heartbreak,0,167.3922,139.136,8724,https://open.spotify.com/track/1B5k9QteFs2Q61Wyca1qZJ
179,Summer Dying Fast,Party Songs,1994,321.35791,193.693,4643,https://open.spotify.com/track/7FxGn1isQ7V8UuvwOf07pS
180,Still,Politics And Protest,0,263.94077,76.693,4676,https://open.spotify.com/track/6TyQldKDsPAbIsuBMbwhbZ
181,Snapshot,Party Songs,0,341.36771,126.95,5177,https://open.spotify.com/track/3DqSaYzwNA7aK5UB93wmDJ
182,End Of The Road (head Hornys Remix),Life And Death,0,333.13914,144.812,7688,https://open.spotify.com/track/3Vle99l7m3PEjd90U0mDkm
183,7 Miles,People And Places,0,349.12608,138.003,2472,https://open.spotify.com/track/5wnNdul4yR2YZG5VmOR1LS
184,The Frail,Heartbreak,1999,168.56771,130.284,8713,https://open.spotify.com/track/2y5aJvzXhHPA94U5GFAcXe
185,Para Milladoiro,Politics And Protest,2010,350.71955,152.013,5876,https://open.spotify.com/track/5kBHjpK4YGXVnOMXDUDjgX
186,Stone Cold Fingers (bonus Track),Politics And Protest,0,175.62077,159.968,1721,https://open.spotify.com/track/2EEinN4Zk8MUv4OQuLsTBj
187,Snowball,People And Places,2005,190.24934,75.031,4749,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
188,(we Don't Need This) Fascist Groove Thang,Politics And Protest,1981,255.16363,150.837,6784,https://open.spotify.com/track/6ZJQ8lOeIgyMAGd8vb48wH
189,Drunk Alone,People And Places,0,120.2673,143.231,1062,https://open.spotify.com/track/0BbWw6rx7lnaOgrL2Shapq
190,Charisma,Heartbreak,0,557.26975,123.993,2525,https://open.spotify.com/track/3jop2VXhGmDXq4wmvdAZQX
191,Going Down Slow,Politics And Protest,2000,187.53261,97.981,5123,https://open.spotify.com/track/1R7OMhNyjSLhB4PNxQzUVU
192,All Rise,People And Places,0,295.60118,137.288,8461,https://open.spotify.com/track/2kXZZ2aMeqLkcG2py4oAsR
193,Jogo Limpo,Love,0,252.02893,168.323,6002,https://open.spotify.com/track/3aH79EQHU3qAFsscmBVyE3
194,Silent Hill,Politics And Protest,2009,329.35138,111.079,3459,https://open.spotify.com/track/5ztvAflr2nUIbrsSN8O1wP
195,Our Love Is Here To Stay,Love,0,180.00934,133.009,4745,https://open.spotify.com/track/22seP38foydqUMp5Fvkcjm
196,Everything Changes,Party Songs,0,244.45342,146.577,3880,https://open.spotify.com/track/1zG3vdLkyPZG9l9tWkSnVn
197,Master Of Disharmony,Party Songs,1996,282.53995,140.458,2484,https://open.spotify.com/track/69oh4FrhyPsOWs4GAquFtL
198,(this Is Not A) Love Song (live),Love,1983,388.28363,132.506,8635,https://open.spotify.com/track/24pQRk3gcgGmJkmbqUYaa8
199,What Are We Here For,Heartbreak,1997,345.93914,153.862,4864,https://open.spotify.com/track/19NpL7vZSTR8jvHjWVWTqa
200,Une Petite Pause,People And Places,2010,243.1473,93.238,3487,https://open.spotify.com/track/3BR0tpy8qMXJpxPOrBGEJe
201,Wig,Politics And Protest,1986,261.74649,124.086,3088,https://open.spotify.com/track/5T7vxST5huRRrrMRpYKMrn
202,Perasmena Mesanihta,Life And Death,0,172.25098,66.765,2419,https://open.spotify.com/track/3EjmNhVqZ4FjK8ZyVKWKM6
203,God Save The Queen (live),Love,1988,216.60689,145.518,8775,https://open.spotify.com/track/25E3523lFHep52uxSe5zAl
204,Forever,Love,0,363.59791,139.998,4569,https://open.spotify.com/track/0uc37lf4JwgWCNwD8c0uvf
205,Sun Is Shining,Party Songs,2004,271.77751,90.648,4492,https://open.spotify.com/track/5ubUprLRov5UPDCS2UP4cb
206,New Age,Sex,0,330.65751,140.334,8304,https://open.spotify.com/track/5PFJsnXMxP7F4MNG6BLLlv
207,Have Yourself A Merry Little Christmas,Heartbreak,2005,133.27628,89.86,5983,https://open.spotify.com/track/6ixQbkr2PML8rpFTpaH0hc
208,U Killed It,Politics And Protest,2006,264.69832,156.097,769,https://open.spotify.com/track/329j57XqCPUX5LV85y8o5p
209,Rain And Snow,Life And Death,0,228.51873,179.501,7610,https://open.spotify.com/track/7evPpWWu01Klxi0KlPxR17
210,Gerra De De,Heartbreak,0,240.3522,86.689,2445,https://open.spotify.com/track/3h9afMDnvBDLtKC52w35UC
